day,interval,detid,flow,occ,error,city,speed
2017-11-13,32100,N53141A,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53141C,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53211H,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53211I,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53211E,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53211G,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53222K,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53222J,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N53222L,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N51261A,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N51261H,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N51261Y,360.0,12.8571428571429,1.0,bolton,28.0
2017-11-13,32100,N51261B,528.0,18.8571428571429,1.0,bolton,28.0
2017-11-13,32100,N51261Z,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N52161J,96.0,3.42857142857143,1.0,bolton,28.0
2017-11-13,32100,N51261X,372.0,13.2857142857143,1.0,bolton,28.0
2017-11-13,32100,N52161Q,0.0,0.0,1.0,bolton,0.0
2017-11-13,32100,N52161L,72.0,4.23529411764706,1.0,bolton,17.0
2017-11-13,32100,N52171A,36.0,1.2,1.0,bolton,30.0
2017-11-13,32100,N52171M,48.0,12.0,1.0,bolton,4.0
2017-11-13,32100,N52171K,108.0,13.5,1.0,bolton,8.0
2017-11-13,32100,N52171O,48.0,4.36363636363636,1.0,bolton,11.0
2017-11-13,32100,N52172N,156.0,5.77777777777778,1.0,bolton,27.0
